Variable,Tipo de dato,Ejemplo de valor,Descripción,Unidad de medida
country,object,Angola,(Agregar descripción aquí),(Agregar descripción aquí)
year,int64,2000,(Agregar descripción aquí),(Agregar descripción aquí)
area_selvatica_km2,float64,777086.1,(Agregar descripción aquí),(Agregar descripción aquí)
superficie_total_km2,float64,1246700.0,(Agregar descripción aquí),(Agregar descripción aquí)
areas_protegidas,float64,8.9,(Agregar descripción aquí),(Agregar descripción aquí)
gasto_RD_pib,float64,0.0322900004684925,(Agregar descripción aquí),(Agregar descripción aquí)
efectividad_gobierno,float64,-1.07503414154053,(Agregar descripción aquí),(Agregar descripción aquí)
art_cientificos,float64,6.08,(Agregar descripción aquí),(Agregar descripción aquí)
uso_internet,float64,0.105,(Agregar descripción aquí),(Agregar descripción aquí)
pib_per_capita,float64,563.733795571487,(Agregar descripción aquí),(Agregar descripción aquí)
inscripcion_primaria,float64,104.233329772949,(Agregar descripción aquí),(Agregar descripción aquí)
inscripcion_secundaria,float64,12.8563404083252,(Agregar descripción aquí),(Agregar descripción aquí)
inscripcion_terciaria,float64,0.754029989242554,(Agregar descripción aquí),(Agregar descripción aquí)
gasto_educacion_gobierno,float64,5.2550802230835,(Agregar descripción aquí),(Agregar descripción aquí)
gasto_educacion_pib,float64,2.60753011703491,(Agregar descripción aquí),(Agregar descripción aquí)
investigadores_RD,float64,48.4267692565918,(Agregar descripción aquí),(Agregar descripción aquí)
tecnicos_RD,float64,35.4243,(Agregar descripción aquí),(Agregar descripción aquí)
countryCode,object,AO,(Agregar descripción aquí),(Agregar descripción aquí)
region,object,Sub-Saharan Africa ,(Agregar descripción aquí),(Agregar descripción aquí)
incomeLevel,object,Lower middle income,(Agregar descripción aquí),(Agregar descripción aquí)
occurrenceCount,float64,27099.0,(Agregar descripción aquí),(Agregar descripción aquí)
occurrenceCount_publisher,float64,18551.0,(Agregar descripción aquí),(Agregar descripción aquí)
gbif_member,object,No,(Agregar descripción aquí),(Agregar descripción aquí)
ogp_membership,object,No,(Agregar descripción aquí),(Agregar descripción aquí)
